,name,price,original_price,discount,rating,review_count,sales_count,seller_name,category
0,Bếp điện từ Elmich ICE 3879 - Hàng Chính Hãng,986000,1800000,45,5.0,9,31,Tiki Trading,Bếp Từ
1,Bếp điện từ Elmich ICE-1832,952000,1490000,36,5.0,2,9,Tiki Trading,Bếp Từ
4,Bếp điện từ Elmich ICE-3874 - Hàng chính hãng,1070000,1070000,0,5.0,4,9,Alô Bếp,Bếp Từ
5,Bếp điện từ Elmich ICE-1831 hàng chính hãng,1285000,1542000,17,5.0,1,4,AM MART,Bếp Từ
13,Bếp từ đơn Elmich 1832 hàng chính hãng,1100000,1100000,0,5.0,1,1,Alô Bếp,Bếp Từ
16,Bếp điện từ Elmich ICE-3874 2100W Hàng Chính Hãng,858500,1435000,40,4.8,8,85,Tiki Trading,Bếp Từ
17,Bếp điện từ Elmich ICE-1831 - Hàng chính hãng,1181500,1590000,26,5.0,1,9,Tiki Trading,Bếp Từ
24,Bếp Từ Đơn Elmich ICE-1828OL (2100W) - Hàng Chính Hãng,850000,1790000,53,4.8,151,551,Tiki Trading,Bếp Từ
25,Bếp Từ Đơn Lock&Lock EJI411 (2000W) - Hàng Chính Hãng,1031370,2188000,53,4.7,799,2958,Tiki Trading,Bếp Từ
26,Bếp Từ Đơn Sunhouse SHD6803 (2000W) - Kèm Nồi Lẩu - Hàng Chính Hãng,757350,1187000,36,4.7,475,3596,Tiki Trading,Bếp Từ
27,Bếp Từ Đơn Sunhouse SHD6157 (1800W) - Kèm Nồi Lẩu - Hàng Chính Hãng,562320,1094000,49,4.7,339,3617,Tiki Trading,Bếp Từ
28,Bếp điện từ Locknlock Slim induction cooker EJI146WHT (1850W) - Hàng chính hãng,1380000,2690000,49,4.8,14,74,Tiki Trading,Bếp Từ
29,"Bếp điện từ Lock&Lock EJI331 220-240V, 50/60Hz, 2000W –Hàng Chính Hãng",1149000,2000000,43,4.8,10,27,Điện Máy Vymart,Bếp Từ
31,Bếp Từ Đơn Điện Tử Cảm Ứng Sunhouse SHD6805 Tặng Kèm Nồi Lẩu Inox - Hàng Chính Hãng,847000,847000,0,5.0,1,8,GIA DỤNG VIỆT,Bếp Từ
34,"Bếp điện từ, bếp từ đơn 2000W Fujika - tặng kèm nồi lẩu inox-hàng chính hãng",600000,600000,0,4.1,34,87,GIA DỤNG VIỆT,Bếp Từ
46,"Bếp điện từ cảm ứng Sunhouse Mama SHD6875, Công suất 2100W, Tặng kèm nồi lẩu đáy từ chống dính, Hàng chính hãng - Bảo hành 24 tháng",1890000,1890000,0,5.0,1,1,Do Gia Dung Ha Linh,Bếp Từ
48,Bếp điện từ Comet CM5415 - HÀNG CHÍNH HÃNG,519000,519000,0,5.0,1,3,Điện Gia Dụng SaiGon,Bếp Từ
61,"Bếp Từ Đơn Elmich ICE-1831 (Công Suất 2100W, Điều Khiển Cảm Ứng, Mặt Kính Ceramic Cường Lực) - Hàng Chính Hãng",1590000,1590000,0,5.0,2,18,ANP living,Bếp Từ
62,Bếp từ BlueStone ICB-6619 - Hàng chính hãng,1190000,1550000,23,5.0,1,1,Nguyễn Kim Official,Bếp Từ
72,Bếp điện từ Nagakawa NAG0704 - Hàng chính hãng,1310000,1310000,0,5.0,1,1,Đông Di Store,Bếp Từ
87,Bếp Điện Từ Cảm Ứng KUCHEN ĐỨC MI 928 - Bếp Đơn - Hàng Chính Hãng,2200000,2200000,0,5.0,1,4,Crep Protect VN,Bếp Từ
109,Bếp điện từ đơn CANAVAL CA6618 - Hàng nhập khẩu,1485000,1485000,0,4.0,1,4,SMART KITCHENWARE SHOP,Bếp Từ
132,Bếp từ đơn Hafele HSI-21FW (Hàng chính hãng),1209000,2030000,40,4.8,238,837,Hafele Official Store,Bếp Từ
133,Bếp từ đơn Kiwa KI-122GB - Hàng chính hãng,690000,890000,22,4.0,1,3,Nguyễn Kim Official,Bếp Từ
144,Bếp từ đơn Electrolux ETD29MKB - Hàng chính hãng,990000,1590000,38,5.0,1,2,Nguyễn Kim Official,Bếp Từ
152,Bếp từ đơn Electrolux ETD29MKC - Hàng chính hãng,1250000,1250000,0,5.0,1,4,KingHomeSG,Bếp Từ
158,Bếp điện từ Electrolux ETD29MKC (2000W) - Hàng chính hãng,1320000,1390000,5,5.0,13,45,Tiki Trading,Bếp Từ
160,"Bếp Từ Đơn Elmich Smartcook ICS-3873 (Công Suất 2100W, Điều Khiển Cảm Ứng, Mặt Kính Ceramic Cường Lực, Chống Sốc Nhiệt) - Hàng Chính Hãng",1329000,1329000,0,5.0,3,9,ANP living,Bếp Từ
161,"Bếp Từ Đơn Elmich Smartcook ICS-3869 (Công Suất 2100W, Điều Khiển Cảm Ứng, Mặt Kính Ceramic Cường Lực, Chống Sốc Nhiệt) - Hàng Chính Hãng",1290000,1290000,0,4.2,5,10,ANP living,Bếp Từ
164,Bếp âm điện từ đơn KAFF KF-330I - Hàng chính hãng ,1500000,1500000,0,5.0,2,5,KingHomeSG,Bếp Từ
168,Bếp Từ Đơn Rapido RI2000ES (2000W) - Hàng Chính Hãng,790000,790000,0,5.0,3,13,Điện máy Huy Ngọc,Bếp Từ
181,Bếp Điện Từ Đơn Nagakawa NAG0704 (2000W) - Hàng chính hãng,807500,1310000,38,5.0,2,52,Tiki Trading,Bếp Từ
190,Bếp Điện Từ Electrolux ETD42SKA (2100W) - Đen - Hàng chính hãng,2090000,2190000,5,4.7,3,6,Nguyễn Kim Official,Bếp Từ
195,Bếp từ đơn Chefs EH-IH2000A (tặng 1 nồi từ nấu lẩu) - Hàng chính hãng,1190000,1190000,0,5.0,2,2,KingHomeSG,Bếp Từ
196,Bếp Từ Đơn Âm Cảm Ứng DOMINO KAFF KF-330I - Hàng Chính Hãng,1800000,1800000,0,3.9,9,37,AHA BẾP,Bếp Từ
197,Bếp điện từ cảm ứng Nagakawa NAG0713 (2200W) - Hàng chính hãng,1280000,1790000,28,4.5,2,4,Tiki Trading,Bếp Từ
202,Bếp từ Bear SB-BT21W (2100W) - Hàng chính hãng,930000,1250000,26,4.5,2,7,Tiki Trading,Bếp Từ
206,Bếp Điện Từ Midea MI-K1917EF - 1900W - Hàng chính hãng,789000,789000,0,5.0,3,14,dienmaycuongviet,Bếp Từ
216,"[Hàng chính hãng] Bếp từ đơn Neoflam Fika. Hàng có sẵn, giao ngay",1504800,1980000,24,4.7,33,88,GIA DỤNG TIỆN ÍCH MINH NGỌC,Bếp Từ
220,Bếp điện từ ASIA LIGHTING - Tặng kèm 1 nồi inox cao cấp - Hàng chính hãng,954000,954000,0,3.0,1,2,Cửa Hàng Điện Liên Hương,Bếp Từ
229,Bếp điện từ Xiaomi Mijia DCL002CM Youth Version 2 - Hàng Nhập Khẩu,749000,779000,4,5.0,25,109,Mi Hoàng Gia,Bếp Từ
232,Bếp Từ Đơn Nagakawa NAG0704 (2000W) - Kèm Nồi Lẩu - Hàng Chính Hãng,807500,1310000,38,5.0,66,254,Tiki Trading,Bếp Từ
242,Bếp Điện Từ Đơn Kèm Nồi Lẩu Inox Đạt Tường DTBT-03 - Hàng Chính Hãng,539000,539000,0,4.0,1,5,GIA DỤNG VIỆT,Bếp Từ
249,Bếp Từ Đơn BlueStone ICB-6610 (2000W - Kèm nồi lẩu) - Hàng Chính Hãng,1080000,1490000,28,5.0,4,14,BLUESTONE OFFICIAL STORE,Bếp Từ
258,Bếp Điện Từ Đơn Cảm Ứng Đặt Âm OWANI OW-2628ALL - Hàng Chính Hãng,950000,950000,0,5.0,1,2,GIA DỤNG VIỆT,Bếp Từ
268,"Bếp từ Bluestone ICB-6609 , Công Suất 2000W , Mặt Kính Ceramic , Hàng chính hãng",990000,1499000,34,5.0,2,14,TD Electrical Supermarket,Bếp Từ
272,Bếp Từ Đơn Hafele HSI-21FW (2000W) - Kèm Nồi Lẩu - Hàng Chính Hãng,1624000,1624000,0,5.0,1,6,Shop AZS,Bếp Từ
275,"Bếp Từ BlueStone ICB-6619 Công Suất 2000W , Mặt Kính Ceramic , Hàng Chính Hãng",1249000,1699000,26,5.0,4,12,TD Electrical Supermarket,Bếp Từ
276,Bếp Điện Từ Đơn Kèm Nồi Lẩu Inox Đạt Tường PST PTSBT-01 - Hàng Chính Hãng,490000,490000,0,5.0,1,3,GIA DỤNG VIỆT,Bếp Từ
284,[Hàng nhập khẩu] Bếp điện từ cảm ứng thông minh Xiaomi Mijia Youth Lite DCL002CM,799000,799000,0,5.0,1,1,Tech Shark,Bếp Từ
290,Bếp từ đơn BlueStone ICB-6610 (Tặng kèm nồi) Công Suất Lớn 2000W - Hàng chính hãng,990000,1499000,34,4.8,21,44,TD Electrical Supermarket,Bếp Từ
293,[Hàng Nhập Khẩu] Bếp từ Xiaomi Zhiwuzhu ZCL01M 【 99 mức độ nhiệt ◆ Hẹn giờ tắt】,890000,890000,0,4.8,23,98,Mi Hoàng Gia,Bếp Từ
296,Bếp Điện Từ Đơn Cảm Ứng Kèm Nồi Lẩu Inox NK Media MD-BT1820 - Hàng Chính Hãng,600000,600000,0,4.5,13,80,GIA DỤNG VIỆT,Bếp Từ
300,"Bếp Từ Bluestone ICB-6729 , Công Suất 2000W , Mặt Kính Ceramic , Bảo Hành Điện Tử 2 Năm , Hàng Chính Hãng",1490000,2399000,38,5.0,1,4,TD Electrical Supermarket,Bếp Từ
309,"Bếp điện từ cảm ứng Fujika FJ-BT1920, công suất 2000W, hoa văn ngẫu nhiên-hàng chính hãng",615000,615000,0,2.0,1,1,GIA DỤNG VIỆT,Bếp Từ
312,Bếp Điện Từ TOSHIBA IC-20S2PV tặng Nồi Lẩu Inox cao cấp 2 lớp - Hàng chính hãng ,1605500,1690000,5,5.0,1,5,TOSHIBA Official Store,Bếp Từ
328,Bếp Từ Điều Khiển Cảm Ứng 2 Hướng Nagakawa NAG0712 (2200W) - Chức Năng Booster Nấu Nhanh - Hàng Chính Hãng,1250000,1970000,37,4.8,15,40,Tiki Trading,Bếp Từ
332,[Tặng Nồi Lẩu] Bếp từ đơn Electrolux 2000W - ETD29MKC - Bảo hành 2 năm toàn quốc [Hàng chính hãng],1306600,1590000,18,5.0,9,35,Electrolux Official Store,Bếp Từ
338,"Bếp từ đơn cảm ứng TẶNG KÈM NỒI có chức năng hẹn giờ, cài đặt thời gian nấu, truyền nhiệt tốt, tiết kiệm điện - Hàng Chính Hãng",395000,550000,28,3.0,2,12,Minhlam Store,Bếp Từ
343, Bếp Điện Từ Đơn 2000W FUJIKA FJ-BT1920 Kèm Nồi Lẩu Inox Điều Khiển Cảm Ứng Mặt Kính Cao Cấp-Hàng Chính Hãng ,615000,615000,0,4.0,14,31,GIA DỤNG VIỆT,Bếp Từ
344,"Bếp Điện Từ Toshiba IC-20R1SV - Cảm ứng, tặng Nồi Lẩu Inox cao cấp 1 lớp, 9 mức công suất, model 2023 - Hàng chính hãng",1099000,1450000,24,5.0,1,2,Gia Dụng Lạc Khải,Bếp Từ
350,"Bếp từ đơn LEBENLANG LBII5505S mặt kính chịu lực, có chức năng hẹn giờ, cài đặt thời gian nấu, công suất 2000W - hàng chính hãng",1129000,1500000,25,5.0,2,13,LEbenlang,Bếp Từ
351,"Bếp từ đơn Bear DCL-A21B1 bảo vệ quá nhiệt, tự ngắt và nóng siêu tốc 2100W, hàng chính hãng",985000,985000,0,5.0,2,11,ĐIỆN MÁY HTG,Bếp Từ
358,"[Tặng Kèm Nồi Lẩu] Bếp nấu điện từ để bàn Electrolux 2100W 6 chương trình nấu - ETD42SKA - Bề mặt luôn nguội và điều khiển an toàn, tiết kiệm điện năng, chức năng khóa trẻ em [Hàng chính hãng]",1851800,2390000,23,4.5,6,16,Electrolux Official Store,Bếp Từ
