name,price,original_price,discount,rating,review_count,sales_count,inventory_status,brand_name,seller_name,categories,short_description,link
Nồi inox liền khối Elmich Hera,393000,990000,60,5.0,39,115,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/noi-inox-lien-khoi-elmich-hera-p198462390.html?spid=198462415
Nồi inox liền khối Elmich Hera,605000,605000,0,5.0,1,6,N/A,N/A,Alô Bếp,,N/A,https://tiki.vn/noi-inox-lien-khoi-elmich-hera-p201127774.html?spid=201127776
NồI Inox 3 Đáy Sunhouse SH22116,165000,220000,25,3.0,2,8,N/A,N/A,Bep Gia Hung,,N/A,https://tiki.vn/no-i-inox-3-day-sunhouse-sh22116-p25538922.html?spid=138316000
Nồi Luộc Gà Inox 430 3 Đáy Nắp Inox Fivestar - Bạc,780000,780000,0,5.0,10,89,N/A,N/A,SHOP BẾP XINH,,N/A,https://tiki.vn/noi-luoc-ga-inox-430-3-day-nap-inox-fivestar-bac-p14690711.html?spid=14690715
Nồi 5 đáy Inox 304 Elmich Berlin,409000,749250,45,5.0,19,107,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/noi-5-day-inox-304-elmich-berlin-p249253399.html?spid=249253403
Nồi inox liền khối Elmich Trimax XR,370000,370000,0,0.0,0,1,N/A,N/A,Alô Bếp,,N/A,https://tiki.vn/noi-inox-lien-khoi-elmich-trimax-xr-p249215900.html?spid=249215902
"Nồi Luộc Gà Inox 3 Đáy Inox Fivestar  , tặng 1 vá canh",549000,549000,0,4.3,17,165,N/A,N/A,SHOP BẾP XINH,,N/A,https://tiki.vn/noi-luoc-ga-inox-3-day-inox-fivestar-p14699208.html?spid=14699212
NồI Inox 3 Đáy Sunhouse SH22120,215000,270000,20,5.0,3,6,N/A,N/A,Bep Gia Hung,,N/A,https://tiki.vn/no-i-inox-3-day-sunhouse-sh22120-p25538930.html?spid=176759710
Nồi Inox liền khối Elmich Milano,438000,1090000,60,5.0,2,6,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/noi-inox-lien-khoi-elmich-milano-p198458817.html?spid=198458822
 Nồi Inox liền khối Elmich Hera,650000,650000,0,0.0,0,0,N/A,N/A,Alô Bếp,,N/A,https://tiki.vn/noi-inox-lien-khoi-elmich-hera-p248293366.html?spid=248293368
Nồi inox 3 đáy inox 430 FiveStar Standard nắp inox( 32cm ),1440000,1440000,0,0.0,0,2,N/A,N/A,FIVESTAR OFFICIAL STORE,,N/A,https://tiki.vn/noi-inox-3-day-inox-430-fivestar-standard-nap-inox-32cm-p74914693.html?spid=74914694
Nồi Luộc Gà Inox 3 Đáy Fivestar Nắp Inox - Bạc (Không Tặng Muỗng),780000,780000,0,4.3,3,30,N/A,N/A,SHOP BẾP XINH,,N/A,https://tiki.vn/noi-luoc-ga-inox-3-day-fivestar-nap-inox-bac-p14462149.html?spid=14462151
Bộ Nồi Inox 3 Đáy Sunhouse SH334,502480,690000,27,4.5,109,3680,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/bo-noi-inox-3-day-sunhouse-sh334-p2039747.html?spid=10005396
Bộ Nồi Inox 1 Đáy Sunhouse SH224,325000,325000,0,4.5,9,165,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/bo-noi-inox-1-day-sunhouse-sh224-p25421029.html?spid=30984874
Bộ nồi quánh inox Fivestar 3 đáy từ nắp inox 3 món,1260000,1260000,0,4.1,7,20,N/A,N/A,FIVESTAR OFFICIAL STORE,,N/A,https://tiki.vn/bo-noi-quanh-inox-fivestar-3-day-tu-nap-inox-3-mon-p19807782.html?spid=72219085
Nồi Inox 304 Celestine Elmich 2355272 (18cm),668000,668000,0,0.0,0,5,N/A,N/A,Alô Bếp,,N/A,https://tiki.vn/noi-inox-304-celestine-elmich-2355272-18cm-p795527.html?spid=54015906
Bộ Nồi Inox 3 Đáy Sunhouse SH 334,577000,577000,0,5.0,1,70,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/bo-noi-inox-3-day-sunhouse-sh-334-p7221855.html?spid=7221857
Bộ Nồi Inox 5 Đáy - Sunhouse Sh 781,600000,600000,0,0.0,0,4,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/bo-noi-inox-5-day-sunhouse-sh-781-p7111129.html?spid=7111131
Bộ Nồi Inox 3 Đáy Nắp Inox Fivestar Tặng 2 Muỗng Canh,1190000,1190000,0,4.0,2,7,N/A,N/A,FIVESTAR OFFICIAL STORE,,N/A,https://tiki.vn/bo-noi-inox-3-day-nap-inox-fivestar-tang-2-muong-canh-p14699109.html?spid=72221384
Nồi Luộc Gà Fivestar Nắp Inox + Tặng 5 Muỗng Ăn Inox - Bạc,810000,810000,0,5.0,6,28,N/A,N/A,FIVESTAR OFFICIAL STORE,,N/A,https://tiki.vn/noi-luoc-ga-fivestar-nap-inox-tang-5-muong-an-inox-bac-p14449810.html?spid=79239074
Nồi Inox 5 đáy SUNHOUSE SHG788-16,250000,250000,0,0.0,0,0,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/no-i-inox-5-day-sunhouse-shg788-16-p71890929.html?spid=263703711
Nồi Inox 5 đáy SUNHOUSE SHG788-20,300000,300000,0,0.0,0,0,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/no-i-inox-5-day-sunhouse-shg788-20-p71890967.html?spid=197599200
Nồi Inox 3 Lớp Đáy Liền Elmich Trimax Classic 2407OL,437000,870000,50,4.8,179,615,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/noi-inox-3-lop-day-lien-elmich-trimax-classic-p71999229.html?spid=71999235
"Nồi inox 3 đáy inox 430 FiveStar Standard nắp inox  ( 32cm ) , tặng 1 vá canh",1440000,1440000,0,4.2,5,11,N/A,N/A,FIVESTAR OFFICIAL STORE,,N/A,https://tiki.vn/noi-inox-3-day-inox-430-fivestar-standard-nap-inox-32cm-p74914705.html?spid=74914706
Nồi Inox 5 đáy SUNHOUSE SHG788-24,380000,380000,0,0.0,0,0,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/no-i-inox-5-day-sunhouse-shg788-24-p71890934.html?spid=197599386
Bộ Nồi Inox 5 Đáy Sunhouse SH779,2000000,2000000,0,0.0,0,0,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/bo-noi-inox-5-day-sunhouse-sh779-p25421015.html?spid=52136488
Bộ Nồi Inox 430 Bếp Từ Fivestar 3 Chiếc Nắp Inox Tặng 5 Muỗng Ăn Inox,1190000,1190000,0,4.0,1,2,N/A,N/A,FIVESTAR OFFICIAL STORE,,N/A,https://tiki.vn/bo-noi-inox-430-bep-tu-fivestar-3-chiec-nap-inox-tang-5-muong-an-inox-p14605530.html?spid=79239169
Nồi inox 3 đáy Fivestar FSN 24cm nắp inox - Hàng chính hãng,300000,300000,0,0.0,0,0,N/A,N/A,Điện Máy Vạn Kim Tín,,N/A,https://tiki.vn/noi-inox-3-day-fivestar-fsn-24cm-nap-inox-hang-chinh-hang-p253264517.html?spid=253264518
Bộ nồi inox đa lớp Sunhouse Mama SHG701,1377000,2520000,45,0.0,0,0,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/bo-no-i-inox-da-lo-p-sunhouse-mama-shg701-p275610463.html?spid=275610464
Bộ Nồi Inox 1 Đáy Happy Time HPT224,330000,330000,0,0.0,0,1,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/bo-noi-inox-1-day-happy-time-hpt224-p7051471.html?spid=7334865
NỒI HẤP INOX 304 ELMICH 22CM EL3360,1945000,2000000,3,5.0,1,1,N/A,N/A,Săn Hàng Rẻ,,N/A,https://tiki.vn/noi-hap-inox-304-elmich-22cm-el3360-p49517084.html?spid=55768625
BỘ NỒI CHẢO INOX ELMICH POTENZA EL2851,5100000,5100000,0,0.0,0,2,N/A,N/A,Alô Bếp,,N/A,https://tiki.vn/bo-noi-chao-inox-elmich-potenza-el2851-p151525713.html?spid=174152026
Bộ nồi inox 5 đáy SUNHOUSE SHG2503MSD,980000,980000,0,0.0,0,0,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/bo-no-i-inox-5-day-sunhouse-shg2503msd-p217324907.html?spid=270477182
Bộ nồi inox đa lớp Sunhouse Mama SHG708,1395000,2520000,45,0.0,0,3,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/bo-no-i-inox-da-lo-p-sunhouse-mama-shg708-p275894172.html?spid=275894173
