name,price,original_price,discount,rating,review_count,sales_count,inventory_status,brand_name,seller_name,categories,short_description,link
Quạt Sạc Tích Điện Sunhouse SHD7115 - Hàng Chính Hãng,828080,1510000,45,4.0,6,42,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/quat-sac-tich-dien-sunhouse-shd7115-hang-chinh-hang-p102551521.html?spid=174053285
"Quạt mini để bàn, quạt USB tích điện cầm tay CTFAST - M109 : Thiết kế thông minh 3 tốc độ làm mát, chất liệu cao cấp bền bỉ, điều chỉnh 360 độ, không gây ồn, pin sạc 1200mah, dễ dàng mang theo sử dụng - hàng chính hãng",130000,185000,30,4.7,157,961,N/A,N/A,HUY HÙNG AFAST,,N/A,https://tiki.vn/quat-mini-de-ban-quat-usb-tich-dien-cam-tay-ctfast-m105i-thiet-ke-thong-minh-3-toc-do-lam-mat-chat-lieu-cao-cap-ben-bi-dieu-chinh-360-do-khong-gay-on-pin-sac-1200mah-de-dang-mang-theo-su-dung-hang-chinh-hang-p104850983.html?spid=185225554
"Quạt mini để bàn, quạt tích điện, quạt cầm tay chính hãng CWELL, động cơ không tiếng ồn, xoay 210 độ, pin khủng, bản mới",99000,149000,34,4.6,792,4013,N/A,N/A,CWELL Official Store,,N/A,https://tiki.vn/quat-mini-de-ban-tien-loi-khong-gay-tieng-on-xoay-linh-hoat-210-do-hang-chinh-hang-camewell-c201f-p186272720.html?spid=173251737
"Quạt mini để bàn, quạt tích điện usb CTFAST M102 - Quạt cầm tay 3 tốc độ, điều chỉnh hướng gió 360 độ, không gây ồn, pin sạc dung lượng cao - hàng chính hãng",200000,240000,17,4.7,672,2904,N/A,N/A,HUY HÙNG AFAST,,N/A,https://tiki.vn/quat-mini-de-ban-quat-tich-dien-usb-ctfast-m102-quat-cam-tay-3-toc-do-dieu-chinh-huong-gio-360-do-khong-gay-on-pin-sac-dung-luong-cao-hang-chinh-hang-p104908436.html?spid=104908440
"Quạt tích điện để bàn CTFAST F101, quạt mini văn phòng không gây ồn, 3 tốc độ gió, điều chỉnh 270 độ, tặng kèm sticker trang trí, sạc USB - Hàng chính hãng",129000,179000,28,4.3,27,120,N/A,N/A,HUY HÙNG AFAST,,N/A,https://tiki.vn/quat-tich-dien-de-ban-ctfast-v02-quat-mini-van-phong-khong-gay-on-3-toc-do-gio-dieu-chinh-270-do-tang-kem-sticker-trang-tri-sac-usb-p252135469.html?spid=252135473
"Quạt sạc mini | Quạt tích điện | Quạt kẹp nôi, xe đẩy thương hiệu Comet CRF0705 - Hàng chính hãng - BH 12 tháng - 15 ngày đổi mới",243000,386000,37,5.0,1,3,N/A,N/A,Edistributor,,N/A,https://tiki.vn/quat-sac-mini-quat-tich-dien-quat-kep-noi-xe-day-thuong-hieu-comet-crf0705-hang-chinh-hang-bh-12-thang-15-ngay-doi-moi-p249644747.html?spid=261072298
"Quạt Mini Để Bàn , Quạt Tích Điện Tích Hợp Đèn Ngủ, Quạt Kẹp Bàn Besti- Quạt Cầm Tay 3 Tốc Độ, Điều Chỉnh Hướng Gió 360 Độ, Không Gây Ồn, Pin Sạc Dung Lượng Cao - Hàng Chính Hãng",230000,230000,0,5.0,1,16,N/A,N/A,Besti,,N/A,https://tiki.vn/quat-mini-de-ban-quat-tich-dien-tich-hop-den-ngu-quat-kep-ban-besti-quat-cam-tay-3-toc-do-dieu-chinh-huong-gio-360-do-khong-gay-on-pin-sac-dung-luong-cao-hang-chinh-hang-p276008980.html?spid=276008984
"Quạt Mini Để Bàn, Quạt Tích Điện Sạc Usb, Quạt Treo Tường, Quạt Cầm Tay Teement, Không Ồn, Pin Khủng, Kiểu Dáng Sang Trọng - Hàng Chính Hãng",240000,240000,0,5.0,1,2,N/A,N/A,Besti,,N/A,https://tiki.vn/quat-mini-de-ban-quat-tich-dien-sac-usb-quat-treo-tuong-quat-cam-tay-teement-khong-on-pin-khung-kieu-dang-sang-trong-hang-chinh-hang-p276006169.html?spid=276006181
Quạt Sạc Tích Điện Sunhouse SHD7228 - Hàng Chính Hãng,1400000,1400000,0,4.5,14,52,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/quat-sac-tich-dien-sunhouse-shd7228-hang-chinh-hang-p102551671.html?spid=102551672
"Quạt Sạc Tích Điện Comet Cho Xe Hơi, Văn Phòng CRF1406 - Hàng Chính Hãng - Bảo Hành 12 Tháng",568000,568000,0,0.0,0,1,N/A,N/A,Edistributor,,N/A,https://tiki.vn/quat-sac-tich-dien-comet-cho-xe-hoi-van-phong-crf1406-hang-chinh-hang-bao-hanh-12-thang-p276136649.html?spid=276136650
"Quạt tích điện Sunhouse SHD7228, Quạt sạc điện SHD7223, SHD7116, SHD7115, Hàng chính hãng, Bảo hành 12 tháng",1350000,1350000,0,4.0,1,2,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/quat-tich-dien-sunhouse-shd7228-quat-sac-dien-shd7223-shd7116-shd7115-hang-chinh-hang-bao-hanh-12-thang-p261945005.html?spid=263639254
Quạt Để Bàn Có Sạc Tích Điện Perfect PF-QB2170  - Hàng chính hãng,240000,240000,0,5.0,5,40,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/quat-de-ban-co-sac-tich-dien-perfect-pf-qb2170-hang-chinh-hang-p275248853.html?spid=274986969
QUẠT SẠC TÍCH ĐIỆN SUNHOUSE SHD7116 - HÀNG CHÍNH HÃNG,1050000,1050000,0,4.3,3,4,N/A,N/A,Gia Dụng Hùng Xuân,,N/A,https://tiki.vn/quat-sac-tich-dien-sunhouse-shd7116-hang-chinh-hang-p181426580.html?spid=181426581
Quạt Sạc Tích Điện Sunhouse SHD7223 (24W) - Hàng Chính Hãng,1091200,2050000,47,4.5,17,90,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/quat-sac-tich-dien-sunhouse-shd7223-24w-hang-chinh-hang-p102551598.html?spid=174052940
"Quạt Mini Để Bàn, Quạt Tích Điện Usb Teement, Quạt Cầm Tay 3 Tốc Độ, Tích Hợp Đèn Ngủ, Điều Chỉnh Hướng Gió 180 Độ, Không Gây Ồn, Pin Sạc Dung Lượng Cao - Hàng Chính Hãng",150000,150000,0,4.3,8,49,N/A,N/A,Venie,,N/A,https://tiki.vn/quat-mini-de-ban-quat-tich-dien-usb-teement-quat-cam-tay-3-toc-do-tich-hop-den-ngu-dieu-chinh-huong-gio-180-do-khong-gay-on-pin-sac-dung-luong-cao-hang-chinh-hang-p262707220.html?spid=263653820
"Quạt mini để bàn, quạt tích điện sạc usb Besti M102 - Quạt cầm tay 3 tốc độ, điều chỉnh hướng gió xoay 360 độ, không gây ồn, pin sạc dung lượng cao - Hàng chính hãng",250000,250000,0,4.6,51,378,N/A,N/A,Besti,,N/A,https://tiki.vn/quat-mini-de-ban-quat-tich-dien-sac-usb-besti-m102-quat-cam-tay-3-toc-do-dieu-chinh-huong-gio-xoay-360-do-khong-gay-on-pin-sac-dung-luong-cao-hang-chinh-hang-p165182324.html?spid=165182326
"Quạt Mini Để Bàn- Quạt Tích Điện Kẹp Bàn, Cầm Tay, Xoay 720 Độ Tiện Ích - HÀNG CHÍNH HÃNG MINIIN",89000,89000,0,0.0,0,25,N/A,N/A,Smarthome29,,N/A,https://tiki.vn/quat-mini-de-ban-quat-tich-dien-kep-ban-cam-tay-xoay-720-do-tien-ich-hang-chinh-hang-miniin-p251324797.html?spid=251324809
Quạt Tích Điện Để Bàn Xiaomi Lydsto XD-ZMXHS02 - Hàng nhập khẩu,549000,549000,0,4.3,21,122,N/A,N/A,Mi Hoàng Gia,,N/A,https://tiki.vn/quat-tich-dien-de-ban-xiaomi-lydsto-xd-zmxhs02-hang-nhap-khau-p262061219.html?spid=262061220
Quạt Điện Đứng Senko L1338 - Giao Màu Ngẫu Nhiên - Hàng Chính Hãng,365000,365000,0,4.7,28,116,N/A,N/A,Tuấn Yến HCM,,N/A,https://tiki.vn/quat-dien-dung-senko-l1338-giao-mau-ngau-nhien-hang-chinh-hang-p2498757.html?spid=102103683
Quạt Điện Đứng 7 cánh Senko LTS1636 - Giao Màu Ngẫu Nhiên - Hàng Chính Hãng,438000,438000,0,4.8,143,497,N/A,N/A,Tuấn Yến HCM,,N/A,https://tiki.vn/quat-dien-dung-7-canh-senko-lts1636-giao-mau-ngau-nhien-hang-chinh-hang-p2498045.html?spid=101844686
Quạt sạc tích điện Honjianda FL 223 - tích hợp đèn LED & cổng USB,795000,800000,1,4.6,21,108,N/A,N/A,Tuấn Yến HCM,,N/A,https://tiki.vn/quat-sac-tich-dien-honjianda-fl-223-tich-hop-den-led-cong-usb-hang-chinh-hang-p72549513.html?spid=110024243
Quạt sạc tích điện Honjianda FL 301 - tích hợp đèn LED & cổng USB,830000,835000,1,4.7,19,73,N/A,N/A,Tuấn Yến HCM,,N/A,https://tiki.vn/quat-sac-tich-dien-honjianda-fl-301-tich-hop-den-led-cong-usb-hang-chinh-hang-p72549285.html?spid=110024206
