name,price,original_price,discount,rating,review_count,sales_count,inventory_status,brand_name,seller_name,categories,short_description,link
Ấm Siêu Tốc Inox Sunhouse SHD1186 - 1.8L - Hàng chính hãng,243000,270000,10,4.8,134,674,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/a-m-sieu-to-c-inox-sunhouse-shd1186-1-8l-hang-chinh-hang-p532619.html?spid=253533
Ấm Siêu Tốc Sunhouse SHD1306 (1.7 Lít) - Hàng Chính Hãng,359920,590000,39,4.8,53,748,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/a-m-sieu-to-c-sunhouse-shd1306-1-7-lit-hang-chinh-hang-p117837053.html?spid=117837054
Ấm siêu tốc Philips HD9395/90 Hàng chính hãng,1435000,1450000,1,0.0,0,0,N/A,N/A,Telovietnam,,N/A,https://tiki.vn/am-sieu-toc-philips-hd9395-90-hang-chinh-hang-p275867883.html?spid=275867884
Ấm siêu tốc Philips HD9318/00 1.7L Hàng chính hãng,1185000,1200000,1,0.0,0,0,N/A,N/A,Telovietnam,,N/A,https://tiki.vn/am-sieu-toc-philips-hd9318-00-1-7l-hang-chinh-hang-p275865779.html?spid=275865780
Bình Ấm Siêu Tốc Điện Inox 2 Lớp Sunhouse SHD1382 - Màu Ngẫu Nhiên - Chính Hãng,550000,550000,0,5.0,1,3,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/binh-am-sieu-toc-dien-inox-2-lop-sunhouse-shd1382-mau-ngau-nhien-chinh-hang-p41323647.html?spid=41323667
Ấm Siêu Tốc Inox Sunhouse SHD1182- Hàng chính hãng,140000,140000,0,0.0,0,3,N/A,N/A,Bep Gia Hung,,N/A,https://tiki.vn/am-sieu-toc-inox-sunhouse-shd1182-hang-chinh-hang-p449796.html?spid=109347664
"ẤM SIÊU TỐC PHILIPS VIVA HD9316, DUNG TÍCH 1.7 LÍT Hàng chính hãng",850000,860000,1,0.0,0,0,N/A,N/A,Telovietnam,,N/A,https://tiki.vn/am-sieu-toc-philips-viva-hd9316-dung-tich-1-7-lit-hang-chinh-hang-p275853023.html?spid=275853024
Ấm Siêu Tốc Philips HD9359/90 1.7L Hàng chính hãng,2890000,2990000,3,0.0,0,0,N/A,N/A,Telovietnam,,N/A,https://tiki.vn/am-sieu-toc-philips-hd9359-90-1-7l-hang-chinh-hang-p275882488.html?spid=275882489
Ấm siêu tốc nhựa SUNHOUSE SHD1300 - Hàng Chính Hãng,280000,280000,0,5.0,1,11,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/am-sieu-toc-nhua-sunhouse-shd1300-hang-chinh-hang-p8072628.html?spid=8072629
Ấm Siêu Tốc Thủy Tinh Sunhouse SHD1217- Hàng chính hãng,428000,428000,0,4.3,3,5,N/A,N/A,Gia Dụng Hùng Xuân,,N/A,https://tiki.vn/am-sieu-toc-thuy-tinh-sunhouse-shd1217-hang-chinh-hang-p449721.html?spid=153597548
Ấm siêu tốc Klarstein 1.7l,1560000,1590000,2,3.0,2,6,N/A,N/A,Telovietnam,,N/A,https://tiki.vn/am-sieu-toc-klarstein-1-7l-p123583109.html?spid=186483462
Ấm siêu tốc Swan Retro Hàng chính hãng,2990000,3090000,3,0.0,0,0,N/A,N/A,Telovietnam,,N/A,https://tiki.vn/am-sieu-toc-swan-retro-hang-chinh-hang-p275195119.html?spid=275195120
ẤM SIÊU TỐC INOX 1.8 L SUNHOUSE SHD1182 - HÀNG CHÍNH HÃNG,177998,177998,0,0.0,0,0,N/A,N/A,giadung 01 store,,N/A,https://tiki.vn/am-sieu-toc-inox-1-8-l-sunhouse-shd1182-p254077139.html?spid=273370595
Ấm siêu tốc thủy tinh Sunhouse SHD1217 - Trắng - Hàng chính hãng,495000,495000,0,0.0,0,9,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/am-sieu-toc-thuy-tinh-sunhouse-shd1217-trang-hang-chinh-hang-p8072630.html?spid=8072631
BÌNH SIÊU TỐC CLOER 4950 Hàng chính hãng,2050000,2150000,5,0.0,0,0,N/A,N/A,Telovietnam,,N/A,https://tiki.vn/binh-sieu-toc-cloer-4950-hang-chinh-hang-p272284724.html?spid=272284725
"Bình Đun Siêu Tốc PHILIPS HD9339, 1.7 Lít, Bình Thủy Tinh - Hàng Chính Hãng",1215000,1215000,0,0.0,0,0,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/binh-dun-sieu-toc-philips-hd9339-1-7-lit-binh-thuy-tinh-p174162747.html?spid=197742357
"Ấm Siêu Tốc Happy Time 1,8l, Bình Đun Siêu Tốc Inox Cách Nhiệt HTD1081",162000,162000,0,0.0,0,3,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/am-sieu-toc-happy-time-1-8l-binh-dun-sieu-toc-inox-cach-nhiet-htd1081-p149145719.html?spid=222723484
Ấm siêu tốc thủy tinh Sunhouse SHD1215 - Hàng Chính Hãng,322000,322000,0,5.0,1,1,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/a-m-sieu-to-c-thu-y-tinh-sunhouse-shd1215-hang-chinh-hang-p71869440.html?spid=86023333
ẤM SIÊU TỐC CLOER 4511 Hàng chính hãng,1760000,1790000,2,0.0,0,0,N/A,N/A,Telovietnam,,N/A,https://tiki.vn/am-sieu-toc-cloer-4511-hang-chinh-hang-p272283370.html?spid=272283371
Ấm siêu tốc GALI GL-0012 Chính Hãng,597000,597000,0,0.0,0,0,N/A,N/A,Đại Phát Điện Gia Dụng,,N/A,https://tiki.vn/am-sieu-toc-gali-gl-0012-chinh-hang-p19734001.html?spid=51618756
Ấm Siêu Tốc Inox SUNHOUSE HAPPY TIME HTD1055 (1.5L) - Hàng Chính Hãng,139840,190000,26,4.7,2489,10748,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/am-sieu-toc-inox-sunhouse-happy-time-htd1055-1-5l-hang-chinh-hang-p48537880.html?spid=48537881
Ấm Siêu Tốc Thủy Tinh Sunhouse SHD1330 (1.7 Lít) - Hàng Chính Hãng,484880,780000,38,4.7,21,82,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/a-m-sieu-to-c-thu-y-tinh-sunhouse-shd1330-1-7-lit-hang-chinh-hang-p117837049.html?spid=117837050
Ấm siêu tốc Elmich KEE 8457 - Hàng Chính Hãng,640000,990000,35,4.3,6,43,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/am-sieu-toc-elmich-kee-8457-hang-chinh-hang-p272428559.html?spid=273180210
Ấm siêu tốc Elmich KEE 8456 MG - Hàng chính hãng,901000,1500000,40,5.0,12,65,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/am-sieu-toc-elmich-kee-8456-hang-chinh-hang-p275793114.html?spid=273180206
Ấm Siêu Tốc Inox Happy Time Sunhouse HTD1081 (1.8 lít)- Hàng chính hãng,127880,220000,42,4.6,827,9545,N/A,N/A,Tiki Trading,,N/A,https://tiki.vn/am-sieu-toc-inox-happy-time-sunhouse-htd1081-1-8-lit-hang-chinh-hang-p684651.html?spid=685494
ẤM SIÊU TỐC INOX 2 LỚP 1.8L SUNHOUSE SHD1351 - Hàng chính hãng,222000,222000,0,0.0,0,0,N/A,N/A,Gia Dụng Hùng Xuân,,N/A,https://tiki.vn/a-m-sieu-toc-inox-2-lop-1-8l-sunhouse-shd1351-hang-chinh-hang-p203284726.html?spid=276376780
Ấm siêu tốc Cloer 4529 - Hàng Chính Hãng,1560000,1870000,17,0.0,0,0,N/A,N/A,Hàng Gia Dụng Châu Âu,,N/A,https://tiki.vn/am-sieu-toc-cloer-4529-hang-chinh-hang-p45092036.html?spid=113165586
Ấm Siêu Tốc Thủy Tinh Sunhouse SHD1215B (Đen) - Hàng Chính Hãng,338000,338000,0,4.5,10,182,N/A,N/A,Gia Dụng Hùng Xuân,,N/A,https://tiki.vn/am-sieu-toc-thuy-tinh-sunhouse-shd1215b-den-hang-chinh-hang-p103368920.html?spid=138574079
Ấm siêu tốc HAPPY TIME SUNHOUSE Inox 1.8L HTD1088 - Hàng chính hãng,145000,145000,0,0.0,0,2,N/A,N/A,Bep Gia Hung,,N/A,https://tiki.vn/am-sieu-toc-happy-time-sunhouse-inox-1-8l-htd1088-p185439751.html?spid=185439753
Ấm siêu tốc thủy tinh 1.8L Sunhouse SHD1215B - Hàng chính hãng,356000,356000,0,5.0,9,52,N/A,N/A,SMARTWATCH,,N/A,https://tiki.vn/am-sieu-toc-thuy-tinh-1-8l-sunhouse-shd1215b-hang-chinh-hang-p149146003.html?spid=161974017
Ấm Siêu Tốc Sunhouse SHD1300 - 1.7 Lít (Trắng)- Hàng chính hãng,280000,280000,0,0.0,0,4,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/am-sieu-toc-sunhouse-shd1300-1-7l-trang-hang-chinh-hang-p532622.html?spid=14707499
Ấm siêu tốc inox Happy Time HTD1088 1.8L - Hàng chính hãng,156000,156000,0,0.0,0,0,N/A,N/A,Do Gia Dung Ha Linh,,N/A,https://tiki.vn/a-m-sieu-to-c-inox-happy-time-htd1088-1-8l-hang-chinh-hang-p41198556.html?spid=59211966
Ấm siêu tốc Inox 2 lớp 1.8L Sunhouse SHD1353 - Hàng chính hãng,275000,275000,0,0.0,0,0,N/A,N/A,Gia Dụng Hùng Xuân,,N/A,https://tiki.vn/a-m-sieu-to-c-inox-2-lo-p-1-8l-sunhouse-shd1353-chinh-hang-p181699152.html?spid=197624291
Ấm Siêu Tốc Inox 2 Lớp 1.8L Sunhouse SHD1355 - Hàng Chính Hãng,270000,270000,0,5.0,7,27,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/a-m-sieu-toc-inox-2-lop-1-8l-sunhouse-shd1355-hang-chinh-hang-p263867989.html?spid=263868055
ẤM SIÊU TỐC THỦY TINH SUNHOUSE SHD1215B 1.8L (HÀNG CHÍNH HÃNG),349000,349000,0,0.0,0,20,N/A,N/A,Gia Dụng Hùng Xuân,,N/A,https://tiki.vn/am-sieu-toc-thuy-tinh-sunhouse-shd1215b-1-8l-p196537903.html?spid=197623333
Ấm Siêu Tốc Inox Happy Time Sunhouse HTD1081 (1.8 lít) - Hàng chính hãng KM,170000,170000,0,4.3,4,8,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/am-sieu-toc-inox-happy-time-sunhouse-htd1081-1-8-lit-hang-chinh-hang-p51558757.html?spid=53993200
[Hàng Chính Hãng]  Ấm Siêu Tốc Thủy Tinh Sunhouse SHD1215 1.8 Lít - Bảo Hành 12 Tháng Toàn Quốc,460000,460000,0,0.0,0,9,N/A,N/A,LYTY SHOP,,N/A,https://tiki.vn/hang-chinh-hang-am-sieu-toc-thuy-tinh-sunhouse-shd1215-1-8-lit-bao-hanh-12-thang-toan-quoc-p200762478.html?spid=200762480
Ấm Siêu Tốc Thủy Tinh SUNHOUSE SHD1217 Dung Tích 1.7L - Hàng chính hãng,495000,495000,0,0.0,0,2,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/a-m-sieu-to-c-thu-y-tinh-sunhouse-shd1217-dung-tich-1-7l-p149145664.html?spid=197598809
[Hàng Chính Hãng]  Ấm Siêu Tốc Inox 2 Lớp Sunhouse SHD1351 1.8 Lít - Bảo Hành 12 Tháng Toàn Quốc,285000,285000,0,0.0,0,0,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/hang-chinh-hang-am-sieu-toc-inox-2-lop-sunhouse-shd1351-1-8-lit-bao-hanh-12-thang-toan-quoc-p200762481.html?spid=263804052
Ấm Siêu Tốc 2 Lớp Inox Sunhouse SHD1351 1.8L Hàng Chính Hãng - Sản Phẩm Cần Thiết Cho Mọi Gia Đình,285000,285000,0,0.0,0,1,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/am-sieu-toc-2-lop-inox-sunhouse-shd1351-1-8l-hang-chinh-hang-san-pham-can-thiet-cho-moi-gia-dinh-p252053212.html?spid=263804040
Ấm Siêu Tốc Goldsun GKT2604 - Hàng Chính Hãng,255000,255000,0,0.0,0,4,N/A,N/A,Điện Máy Bà Điểm,,N/A,https://tiki.vn/am-sieu-toc-goldsun-gkt2604-hang-chinh-hang-p135640075.html?spid=135640076
Ấm siêu tốc GALI GL-0018I Chính Hãng,749000,749000,0,5.0,1,3,N/A,N/A,Đại Phát Điện Gia Dụng,,N/A,https://tiki.vn/am-sieu-toc-gali-gl-0018i-chinh-hang-p19734004.html?spid=52580266
Ấm siêu tốc GALI GL - 0017C Chính Hãng,553000,553000,0,0.0,0,0,N/A,N/A,Siêu Thị Điện Máy Từ Sơn,,N/A,https://tiki.vn/am-sieu-toc-gali-gl-0017c-chinh-hang-p19734003.html?spid=173652192
"Bình siêu tốc inox 2 lớp 1,8L Sunhouse  SHD1351 - Hàng chính hãng (chỉ giao HN và một số khu vực)",285000,285000,0,0.0,0,3,N/A,N/A,GIA DỤNG VIỆT,,N/A,https://tiki.vn/binh-sieu-toc-inox-2-lo-p-1-8l-sunhouse-shd1351-p169562687.html?spid=197599285
